CO2	HUMIDITY	POLLUTION	TEMPT	MONTH	DAY
41	190	16.6	67	1	1
36	118	14.9	72	1	2
12	149	8	74	1	3
18	313	12	62	1	4
NA	NA	8.6	56	1	5
28	NA	13.8	66	1	6
23	299	20.1	65	1	7
19	99	7.4	59	1	8
8	19	8	61	1	9
NA	194	12.6	69	1	10
7	NA	11.5	74	1	11
16	256	14.3	69	1	12
11	290	14.9	66	1	13
14	274	8.6	68	1	14
18	65	13.8	58	1	15
14	334	20.1	64	1	16
34	307	8.6	66	1	17
6	78	6.9	57	1	18
30	322	9.7	68	1	19
11	44	9.2	62	1	20
1	8	10.9	59	1	21
11	320	13.2	73	1	22
4	25	11.5	61	1	23
32	92	12	61	1	24
NA	66	18.4	57	1	25
NA	266	11.5	58	1	26
NA	NA	9.7	57	1	27
23	13	9.7	67	1	28
23	299	16.6	65	1	29
19	99	9.7	59	1	30
8	19	12	61	1	31
41	190	16.6	67	2	1
36	118	8	72	2	2
12	149	12.6	74	2	3
18	313	11.5	62	2	4
NA	NA	14.3	56	2	5
28	NA	14.9	67	2	6
23	299	8.6	72	2	7
19	99	13.8	74	2	8
8	19	20.1	62	2	9
NA	194	8.6	56	2	10
7	NA	6.9	66	2	11
16	149	9.7	65	2	12
41	313	9.2	59	2	13
36	NA	10.9	61	2	14
12	NA	13.2	69	2	15
18	299	11.5	74	2	16
NA	99	12	69	2	17
28	19	18.4	66	2	18
23	194	11.5	68	2	19
19	NA	9.7	58	2	20
8	256	9.7	64	2	21
NA	290	16.6	66	2	22
7	274	9.7	57	2	23
16	65	12	68	2	24
11	334	16.6	62	2	25
14	307	14.9	59	2	26
18	78	8	73	2	27
14	322	12	61	2	28
34	44	7.4	61	3	1
6	8	8	57	3	2
30	320	12.6	56	3	3
11	25	20.1	66	3	4
1	92	8.6	65	3	5
11	66	6.9	59	3	6
4	266	9.7	61	3	7
32	NA	9.2	69	3	8
NA	13	10.9	74	3	9
NA	299	13.2	69	3	10
NA	99	11.5	66	3	11
23	19	12	68	3	12
23	190	18.4	58	3	13
14	274	11.5	64	3	14
18	65	9.7	66	3	15
14	334	9.7	57	3	16
34	307	16.6	68	3	17
6	78	9.7	62	3	18
30	322	12	59	3	19
11	44	16.6	73	3	20
1	8	14.9	61	3	21
11	320	8	61	3	22
4	25	12	57	3	23
32	92	14.9	61	3	24
NA	66	5.7	57	3	25
NA	266	7.4	58	3	26
NA	NA	8	57	3	27
23	13	12.6	67	3	28
45	252	11.5	81	3	29
115	223	14.3	79	3	30
34	307	12	66	3	31
41	190	7.4	67	4	1
36	118	8	72	4	2
12	149	12.6	74	4	3
18	149	11.5	62	4	4
NA	313	14.3	56	4	5
28	NA	14.9	66	4	6
23	NA	8.6	65	4	7
19	299	13.8	59	4	8
8	99	14.9	61	4	9
NA	19	8	69	4	10
7	194	12	74	4	11
16	NA	14.9	69	4	12
11	256	5.7	66	4	13
22	290	7.4	68	4	14
18	274	8	58	4	15
14	65	12.6	64	4	16
34	334	11.5	66	4	17
6	307	14.3	57	4	18
30	78	11.5	68	4	19
11	322	14.9	67	4	20
1	44	8	72	4	21
11	8	4.1	74	4	22
4	320	9.2	62	4	23
32	25	9.2	56	4	24
NA	92	10.9	66	4	25
NA	66	4.6	65	4	26
NA	266	10.9	59	4	27
23	NA	5.1	61	4	28
45	13	6.3	69	4	29
115	299	5.7	74	4	30
41	99	7.4	69	5	1
36	19	8.6	66	5	2
12	190	14.3	68	5	3
18	313	14.9	58	5	4
NA	NA	14.9	64	5	5
34	NA	14.3	66	5	6
6	299	6.9	57	5	7
30	99	10.3	68	5	8
11	19	6.3	62	5	9
1	194	5.1	59	5	10
11	NA	11.5	73	5	11
4	256	6.9	61	5	12
32	290	9.7	61	5	13
NA	274	11.5	57	5	14
NA	65	8.6	58	5	15
NA	334	8	64	5	16
23	307	13.8	66	5	17
45	78	11.5	57	5	18
115	322	14.9	68	5	19
34	44	20.7	62	5	20
41	8	9.2	59	5	21
36	320	11.5	73	5	22
12	25	10.3	61	5	23
18	92	6.3	61	5	24
NA	66	1.7	57	5	25
28	266	4.6	58	5	26
23	NA	6.3	57	5	27
19	13	8	67	5	28
8	252	8	81	5	29
NA	223	10.3	79	5	30
7	279	11.5	76	5	31
16	286	14.9	78	6	1
NA	287	8	74	6	2
