x
                                Người thứ 1   Người thứ 2   Người thứ 3   Người thứ 4   Người thứ 5   Người thứ 6   Người thứ 7   Người thứ 8   Người thứ 9   Người thứ 10   Kết quả trung bình
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -------------  -------------------
Lần lấy mẫu giả lập thứ 1                71            71            88            55            56            89            45            56            69             88                 68.8
Lần lấy mẫu giả lập thứ 2                89            71            69            69            69            71            49            88            73             88                 73.6
Lần lấy mẫu giả lập thứ 3                69            71            45            60            73            89            88            73            69             69                 70.6
Lần lấy mẫu giả lập thứ 4                88            73            89            73            89            56            69            55            89             49                 73.0
Lần lấy mẫu giả lập thứ 5                55            60            69            69            56            89            69            88            45             56                 65.6
Lần lấy mẫu giả lập thứ 6                49            56            56            73            60            56            55            60            55             45                 56.5
Lần lấy mẫu giả lập thứ 7                89            56            71            69            45            56            69            69            73             71                 66.8
Lần lấy mẫu giả lập thứ 8                49            69            71            73            71            73            56            88            89             89                 72.8
Lần lấy mẫu giả lập thứ 9                49            71            88            55            88            55            88            56            45             60                 65.5
Lần lấy mẫu giả lập thứ 10               56            71            49            71            49            60            73            73            73             88                 66.3
Lần lấy mẫu giả lập thứ 11               56            73            88            89            56            49            89            73            45             71                 68.9
Lần lấy mẫu giả lập thứ 12               69            73            56            88            69            73            55            71            49             45                 64.8
Lần lấy mẫu giả lập thứ 13               73            45            60            49            45            69            49            56            45             49                 54.0
Lần lấy mẫu giả lập thứ 14               71            45            45            56            60            88            45            69            73             49                 60.1
Lần lấy mẫu giả lập thứ 15               89            55            56            69            49            88            45            89            73             60                 67.3
Lần lấy mẫu giả lập thứ 16               49            49            88            69            49            55            89            69            73             73                 66.3
Lần lấy mẫu giả lập thứ 17               88            88            49            56            73            88            60            69            71             88                 73.0
Lần lấy mẫu giả lập thứ 18               89            56            69            45            88            73            69            73            88             45                 69.5
Lần lấy mẫu giả lập thứ 19               49            69            69            69            89            73            56            60            88             88                 71.0
Lần lấy mẫu giả lập thứ 20               60            88            60            88            89            73            89            88            69             45                 74.9
Lần lấy mẫu giả lập thứ 21               56            55            60            89            69            45            71            69            60             55                 62.9
Lần lấy mẫu giả lập thứ 22               45            88            60            89            89            69            49            73            69             89                 72.0
Lần lấy mẫu giả lập thứ 23               55            88            56            73            69            60            89            89            49             89                 71.7
Lần lấy mẫu giả lập thứ 24               73            45            55            60            60            55            60            55            49             60                 57.2
Lần lấy mẫu giả lập thứ 25               71            55            55            89            69            88            56            88            88             56                 71.5
