"country","year","SP.POP.TOTL","NY.GDP.PCAP.CD"
"Vietnam",2022,98186856,4163.5143004093
"Vietnam",2021,97468029,3756.48912237473
"Vietnam",2020,96648685,3586.34729656749
"Vietnam",2019,95776716,3491.09127859728
"Vietnam",2018,94914330,3267.22500852051
"Vietnam",2017,94033048,2992.07174595941
"Vietnam",2016,93126529,2760.7171010752
"Vietnam",2015,92191398,2595.23497870737
"Vietnam",2014,91235504,2558.7789242001
"Vietnam",2013,90267739,2367.49954241069
"Vietnam",2012,89301326,2190.23228396054
"Vietnam",2011,88349117,1953.55697860752
"Vietnam",2010,87411012,1684.01166738777
"Vietnam",2009,86482923,1225.84500946092
"Vietnam",2008,85597241,1158.10162735417
"Vietnam",2007,84762269,913.312331601755
"Vietnam",2006,83951800,790.592516384921
"Vietnam",2005,83142095,693.189842514919
"Vietnam",2004,82311227,551.903505134912
"Vietnam",2003,81475825,485.450908058518
"Vietnam",2002,80642308,434.810292146332
"Vietnam",2001,79817777,409.497733935821
"Vietnam",2000,79001142,394.583136574358
"Vietnam",1999,78123713,367.156883682362
"Vietnam",1998,77128424,352.783068017119
"Vietnam",1997,76058603,352.93443979701
"Vietnam",1996,74946448,329.001189952993
"Vietnam",1995,73759110,281.133604499166
"Vietnam",1994,72501087,224.637094521393
"Vietnam",1993,71176405,185.187122026908
"Vietnam",1992,69788747,141.383685201224
"Vietnam",1991,68358820,140.631004461734
"Vietnam",1990,66912613,96.7192957412953
"Vietnam",1989,65466361,96.1303618906514
"Vietnam",1988,64037514,397.01436018572
"Vietnam",1987,62630787,585.304937175943
"Vietnam",1986,61221107,430.188501008969
"Vietnam",1985,59811313,235.652539858881
"Vietnam",1984,58406863,NA
"Vietnam",1983,57011444,NA
"Vietnam",1982,55632153,NA
"Vietnam",1981,54280394,NA
"Vietnam",1980,52968270,NA
"Vietnam",1979,51831389,NA
"Vietnam",1978,50701458,NA
"Vietnam",1977,49418150,NA
"Vietnam",1976,48163573,NA
"Vietnam",1975,46969616,NA
"Vietnam",1974,45898698,NA
"Vietnam",1973,44891281,NA
"Vietnam",1972,43906019,NA
"Vietnam",1971,42916624,NA
"Vietnam",1970,41928849,NA
"Vietnam",1969,41015865,NA
"Vietnam",1968,40145287,NA
"Vietnam",1967,39282564,NA
"Vietnam",1966,38388210,NA
"Vietnam",1965,37466077,NA
"Vietnam",1964,36509166,NA
"Vietnam",1963,35526727,NA
"Vietnam",1962,34533889,NA
"Vietnam",1961,33621982,NA
"Vietnam",1960,32718461,NA
