AB.nm.		AND19.7.22.3		AND19.7.24.3		AND19.71.22.32		AND20.11.22.3		AND19.47.223.3		AND12.5.22.3
100		0.027292		0.027408		0.362643		0.369203		0.532711		0.527391
101		0.034848		0.034905		0.418668		0.426883		0.609034		0.602264
102		0.044735		0.044830		0.476541		0.486404		0.686657		0.678054
103		0.057310		0.057416		0.051138		0.045078		0.034848		0.034905
104		0.073030		0.073053		0.066444		0.060538		0.044735		0.044830
105		0.092933		0.092936		0.085849		0.080078		0.057310		0.057416
106		0.117481		0.117538		0.110075		0.104407		0.073030		0.073053
107		0.094174		0.090096		0.020450		0.135128		0.092933		0.092936
108		0.118490		0.115668		0.023845		0.172729		0.117481		0.117538
109		0.024805		0.018494		0.017968		0.018177		0.073030		0.073053
110		0.030281		0.024010		0.021511		0.021701		0.092933		0.092936
111		0.369203		0.532711		0.027292		0.027408		0.117481		0.117538
112		0.426883		0.609034		0.034848		0.034905		0.094174		0.090096
113		0.486404		0.686657		0.044735		0.044830		0.118490		0.115668
114		0.045078		0.034848		0.532711		0.527391		0.147277		0.145874
115		0.060538		0.044735		0.609034		0.602264		0.180501		0.180546
116		0.080078		0.057310		0.686657		0.678054		0.218732		0.220286
