"Date","USD (AM)","USD (PM)"
2023-11-24,1995.2,2000.85
2023-11-23,1992.6,1992.85
2023-11-22,1999.9,1997.55
2023-11-21,1988.55,2006.6
2023-11-20,1976.05,1968.7
2023-11-17,1992.15,1981.05
2023-11-16,1966.5,1980.1
2023-11-15,1973.4,1958.2
2023-11-14,1946.55,1969.05
2023-11-13,1937.45,1931.15
2023-11-10,1953.45,1941.65
2023-11-09,1946.75,1957.45
2023-11-08,1960.1,1959.35
2023-11-07,1967.8,1960.7
2023-11-06,1987.1,1984.6
2023-11-03,1988.5,1994.45
2023-11-02,1986.7,1983.6
2023-11-01,1982.5,1986.35
2023-10-31,1997.6,1996.9
2023-10-30,1996.15,1997.6
2023-10-27,1987.6,1982.9
2023-10-26,1991.45,1975
2023-10-25,1970.15,1983.3
2023-10-24,1967.4,1963.65
2023-10-23,1980.95,1973
2023-10-20,1984.2,1988.5
2023-10-19,1948.65,1953.55
2023-10-18,1943.85,1955.7
2023-10-17,1923.45,1928.2
2023-10-16,1914.65,1918.05
2023-10-13,1887,1909.2
2023-10-12,1881.15,1874
2023-10-11,1870,1871.25
2023-10-10,1859.7,1857
2023-10-09,1852.3,1845.5
2023-10-06,1821.9,1819.6
2023-10-05,1822.75,1819.45
2023-10-04,1823.25,1818.95
2023-10-03,1828.3,1822.45
2023-10-02,1831.85,1833.05
2023-09-29,1871.6,1870.5
2023-09-28,1874.1,1873.55
2023-09-27,1895.55,1887.3
2023-09-26,1912.3,1907.05
2023-09-25,1922.55,1924.85
2023-09-22,1926.2,1927.35
2023-09-21,1923.4,1915
2023-09-20,1930.15,1943.35
2023-09-19,1935,1934.9
2023-09-18,1926.4,1923.5
2023-09-15,1918.7,1927.7
2023-09-14,1906.45,1901.75
2023-09-13,1912.15,1913.8
2023-09-12,1918.9,1908.55
2023-09-11,1926.6,1924.95
2023-09-08,1925.55,1927.8
2023-09-07,1919.85,1918.35
2023-09-06,1923.45,1922.05
2023-09-05,1931.8,1926.1
2023-09-04,1942.05,1937.2
2023-09-01,1944.3,1940.55
2023-08-31,1944.2,1942.3
2023-08-30,1938.35,1947.55
2023-08-29,1923.5,1930
2023-08-25,1917.85,1915.5
2023-08-24,1920.7,1917.05
2023-08-23,1904.55,1916.65
2023-08-22,1901.85,1892.75
2023-08-21,1890.1,1889.85
2023-08-18,1891.75,1893.7
