"rank","area","item","year","production","area_harvested","yield"
"5","Indonesia","Rice",2021,54415294,10411801,5.23
"6","Viet Nam","Rice",2021,43852728.69,7219797,6.07
"7","Thailand","Rice",2021,33582000,11244000,2.99
"8","Myanmar","Rice",2021,24910000,6536690,3.81
"9","Philippines","Rice",2021,19960170.2,4805077,4.15
"12","Cambodia","Rice",2021,11410000,3252989,3.51
"21","Lao People's Democratic Republic","Rice",2021,3870000,943194,4.1
"27","Malaysia","Rice",2021,2418148,645668,3.75
"87","Timor-Leste","Rice",2021,45455,26792,1.7
"107","Brunei Darussalam","Rice",2021,2675,927,2.89
"5","Indonesia","Rice",2020,54649202.24,10657275,5.13
"6","Viet Nam","Rice",2020,42764999.76,7222403,5.92
"7","Thailand","Rice",2020,30231025,10401653,2.91
"8","Myanmar","Rice",2020,25982696,6829904,3.8
"9","Philippines","Rice",2020,19294855.51,4718896,4.09
"11","Cambodia","Rice",2020,11248000,3322800,3.39
"21","Lao People's Democratic Republic","Rice",2020,3519100,921700,3.82
"27","Malaysia","Rice",2020,2356391.9,644908,3.65
"87","Timor-Leste","Rice",2020,49983,18912,2.64
"106","Brunei Darussalam","Rice",2020,2511.31,853,2.94
"4","Indonesia","Rice",2019,54604033,10677887,5.11
"6","Viet Nam","Rice",2019,43495487.58,7451544,5.84
"7","Thailand","Rice",2019,28617948,9812614,2.92
"8","Myanmar","Rice",2019,26269814,6920875,3.8
"9","Philippines","Rice",2019,18814827.29,4651490,4.04
"11","Cambodia","Rice",2019,10885700,3263800,3.34
"21","Lao People's Democratic Republic","Rice",2019,3534500,850700,4.15
"29","Malaysia","Rice",2019,2352870,672084,3.5
"87","Timor-Leste","Rice",2019,47822,22328,2.14
"108","Brunei Darussalam","Rice",2019,1499.95,773,1.94
"4","Indonesia","Rice",2018,59200534,11377934,5.2
"6","Viet Nam","Rice",2018,44046249.56,7570741,5.82
"7","Thailand","Rice",2018,32348114,10647941,3.04
"8","Myanmar","Rice",2018,27573589.14,7149311,3.86
"9","Philippines","Rice",2018,19066093.94,4800406,3.97
"11","Cambodia","Rice",2018,10892000,3202480,3.4
"20","Lao People's Democratic Republic","Rice",2018,3584700,848174,4.23
"26","Malaysia","Rice",2018,2639202,699980,3.77
"86","Timor-Leste","Rice",2018,57000,22912,2.49
"108","Brunei Darussalam","Rice",2018,1569,783,2
"4","Indonesia","Rice",2017,55252000,10900000,5.07
"6","Viet Nam","Rice",2017,42763682.38,7708534,5.55
"7","Thailand","Rice",2017,32898903,10719698,3.07
"8","Myanmar","Rice",2017,26546385.89,6945982,3.82
"9","Philippines","Rice",2017,19276346.63,4811808,4.01
"14","Cambodia","Rice",2017,10518000,3095923,3.4
"19","Lao People's Democratic Republic","Rice",2017,4039779,956134,4.23
"24","Malaysia","Rice",2017,2570513,685548,3.75
"84","Timor-Leste","Rice",2017,62114.64,22959,2.71
"108","Brunei Darussalam","Rice",2017,1527,920,1.66
"4","Indonesia","Rice",2016,54031000,10600000,5.1
"6","Viet Nam","Rice",2016,43112009.81,7734722,5.57
"7","Thailand","Rice",2016,31857000,10734279,2.97
"8","Myanmar","Rice",2016,25672832,6723986,3.82
"9","Philippines","Rice",2016,17627245,4556043,3.87
"15","Cambodia","Rice",2016,9952000,2889449,3.44
"20","Lao People's Democratic Republic","Rice",2016,4148800,973327,4.26
"26","Malaysia","Rice",2016,2739606,688770,3.98
"86","Timor-Leste","Rice",2016,60000,19251,3.12
"108","Brunei Darussalam","Rice",2016,1579,1013,1.56
"4","Indonesia","Rice",2015,61031000,11389000,5.36
"6","Viet Nam","Rice",2015,45090561.89,7828607,5.76
"7","Thailand","Rice",2015,27702191,9717975,2.85
"8","Myanmar","Rice",2015,26210318,6769494,3.87
"9","Philippines","Rice",2015,18149837.78,4656227,3.9
"13","Cambodia","Rice",2015,9335000,2799126,3.33
"20","Lao People's Democratic Republic","Rice",2015,4102000,965152,4.25
"23","Malaysia","Rice",2015,2741404,681559,4.02
"82","Timor-Leste","Rice",2015,71541,23017,3.11
"107","Brunei Darussalam","Rice",2015,1983,924,2.15
"4","Indonesia","Rice",2014,59059000,11473000,5.15
"6","Viet Nam","Rice",2014,44974206,7816476,5.75
"7","Thailand","Rice",2014,32620160,10664923,3.06
"8","Myanmar","Rice",2014,26423300,6869545,3.85
"9","Philippines","Rice",2014,18967826.17,4739672,4
"14","Cambodia","Rice",2014,9324000,2859149,3.26
"19","Lao People's Democratic Republic","Rice",2014,4002424.74,957836,4.18
"29","Malaysia","Rice",2014,1834831,614579,2.99
"78","Timor-Leste","Rice",2014,88824,28482,3.12
"107","Brunei Darussalam","Rice",2014,1382,950,1.45
"4","Indonesia","Rice",2013,60095000,11631000,5.17
"6","Viet Nam","Rice",2013,44039100,7902813,5.57
"7","Thailand","Rice",2013,36762277,11684315,3.15
"8","Myanmar","Rice",2013,26372100,6952910,3.79
"9","Philippines","Rice",2013,18439419.73,4746091,3.89
"13","Cambodia","Rice",2013,9390000,2962949,3.17
"21","Lao People's Democratic Republic","Rice",2013,3414560,891190,3.83
"24","Malaysia","Rice",2013,2603654,671679,3.88
"79","Timor-Leste","Rice",2013,87332,27998,3.12
"108","Brunei Darussalam","Rice",2013,1237,1280,0.97
"4","Indonesia","Rice",2012,59705000,11591000,5.15
"6","Viet Nam","Rice",2012,43737598,7761314,5.64
"7","Thailand","Rice",2012,38100189,11956781,3.19
