Date,mercury,nitrite,COD,ID
1/1/2002,NA,NA,NA,6
1/2/2002,NA,NA,NA,6
1/3/2002,NA,NA,7.74,6
1/4/2002,NA,NA,NA,6
1/5/2002,NA,NA,NA,6
1/6/2002,NA,NA,2.63,6
1/7/2002,NA,NA,NA,6
1/8/2002,NA,NA,NA,6
1/9/2002,NA,NA,3.8,6
1/10/2002,NA,NA,NA,6
1/11/2002,NA,NA,NA,6
1/12/2002,NA,NA,3.52,6
1/13/2002,NA,NA,NA,6
1/14/2002,NA,NA,NA,6
1/15/2002,NA,NA,3.7,6
1/16/2002,NA,NA,NA,6
1/17/2002,NA,NA,NA,6
1/18/2002,NA,NA,3.9,6
1/19/2002,NA,NA,NA,6
1/20/2002,NA,NA,NA,6
1/21/2002,NA,NA,2.72,6
1/22/2002,NA,NA,NA,6
1/23/2002,NA,NA,NA,6
1/24/2002,NA,NA,5.95,6
1/25/2002,NA,NA,NA,6
1/26/2002,NA,NA,NA,6
1/27/2002,NA,NA,2.11,6
1/28/2002,NA,NA,NA,6
1/29/2002,NA,NA,NA,6
1/30/2002,NA,NA,6.4,6
1/31/2002,NA,NA,NA,6
2/1/2002,1.32,0.182,NA,6
2/2/2002,NA,NA,2.67,6
2/3/2002,NA,NA,NA,6
2/4/2002,NA,NA,NA,6
2/5/2002,NA,NA,NA,6
2/6/2002,NA,NA,2.63,6
2/7/2002,1.84,0.958,NA,6
2/8/2002,NA,NA,NA,6
2/9/2002,NA,NA,3.8,6
2/10/2002,NA,NA,NA,6
2/11/2002,NA,NA,NA,6
2/12/2002,NA,NA,3.52,6
2/13/2002,3.77,1.16,NA,6
2/14/2002,NA,NA,NA,6
2/15/2002,NA,NA,3.7,6
2/16/2002,NA,NA,NA,6
2/17/2002,NA,NA,NA,6
2/18/2002,NA,NA,3.9,6
2/19/2002,NA,NA,NA,6
2/20/2002,NA,NA,NA,6
2/21/2002,NA,NA,2.72,6
2/22/2002,NA,NA,NA,6
2/23/2002,NA,NA,NA,6
2/24/2002,NA,NA,5.95,6
2/25/2002,5.02,0.888,NA,6
2/26/2002,NA,NA,NA,6
2/27/2002,NA,NA,2.11,6
2/28/2002,NA,NA,NA,6
3/1/2002,NA,NA,NA,6
3/2/2002,NA,NA,6.4,6
3/3/2002,2.43,1.23,NA,6
3/4/2002,NA,NA,NA,6
3/5/2002,NA,NA,2.67,6
3/6/2002,NA,NA,NA,6
3/7/2002,NA,NA,NA,6
3/8/2002,NA,NA,3.92,6
3/9/2002,2.42,0.467,NA,6
3/10/2002,NA,NA,0.699,6
3/11/2002,NA,NA,NA,6
3/12/2002,NA,NA,NA,6
3/13/2002,NA,NA,NA,6
3/14/2002,NA,NA,NA,6
3/15/2002,6.12,0.446,NA,6
3/16/2002,NA,NA,4.97,6
3/17/2002,NA,NA,NA,6
3/18/2002,NA,NA,NA,6
3/19/2002,NA,NA,NA,6
3/20/2002,NA,NA,NA,6
3/21/2002,3.15,0.241,NA,6
3/22/2002,NA,NA,1.33,6
3/23/2002,NA,NA,NA,6
3/24/2002,NA,NA,NA,6
3/25/2002,NA,NA,1.91,6
3/26/2002,NA,NA,NA,6
3/27/2002,5.16,0.135,NA,6
3/28/2002,NA,NA,1.39,6
3/29/2002,NA,NA,NA,6
3/30/2002,NA,NA,NA,6
3/31/2002,NA,NA,0.867,6
4/1/2002,NA,NA,NA,6
4/2/2002,4.64,0.904,NA,6
4/3/2002,NA,NA,1.41,6
4/4/2002,NA,NA,NA,6
4/5/2002,NA,NA,NA,6
4/6/2002,NA,NA,0.582,6
4/7/2002,NA,NA,NA,6
4/8/2002,5.8,0.706,NA,6
4/9/2002,NA,NA,3.57,6
4/10/2002,NA,NA,NA,6
4/11/2002,NA,NA,NA,6
4/12/2002,NA,NA,2.21,6
4/13/2002,NA,NA,NA,6
4/14/2002,2.17,0.442,NA,6
4/15/2002,NA,NA,0.735,6
4/16/2002,NA,NA,NA,6
4/17/2002,NA,NA,NA,6
4/18/2002,NA,NA,1.57,6
4/19/2002,NA,NA,NA,6
4/20/2002,4.8,0.813,NA,6
4/21/2002,NA,NA,1.37,6
4/22/2002,NA,NA,NA,6
4/23/2002,NA,NA,NA,6
4/24/2002,NA,NA,3.85,6
4/25/2002,NA,NA,1.41,6
4/26/2002,4.36,1.32,NA,6
4/27/2002,NA,NA,NA,6
4/28/2002,NA,NA,0.582,6
4/29/2002,NA,NA,NA,6
4/30/2002,NA,NA,NA,6
5/1/2002,NA,NA,3.57,6
5/2/2002,5.11,0.654,NA,6
5/3/2002,NA,NA,NA,6
5/4/2002,NA,NA,2.21,6
5/5/2002,NA,NA,NA,6
5/6/2002,NA,NA,NA,6
