Date,COD,mercury,nitrite,ID
1/1/2002,NA,NA,NA,8
1/2/2002,NA,NA,NA,8
1/3/2002,3.9,NA,NA,8
1/4/2002,NA,NA,NA,8
1/5/2002,NA,NA,NA,8
1/6/2002,2.72,NA,NA,8
1/7/2002,NA,NA,NA,8
1/8/2002,NA,NA,NA,8
1/9/2002,5.95,NA,NA,8
1/10/2002,NA,NA,NA,8
1/11/2002,NA,NA,NA,8
1/12/2002,2.11,NA,NA,8
1/13/2002,NA,NA,NA,8
1/14/2002,NA,NA,NA,8
1/15/2002,6.4,NA,NA,8
1/16/2002,NA,NA,NA,8
1/17/2002,NA,NA,NA,8
1/18/2002,2.67,NA,NA,8
1/19/2002,NA,NA,NA,8
1/20/2002,NA,NA,NA,8
1/21/2002,NA,NA,NA,8
1/22/2002,NA,NA,NA,8
1/23/2002,2.68,NA,NA,8
1/24/2002,NA,NA,NA,8
1/25/2002,NA,NA,NA,8
1/26/2002,1.14,NA,NA,8
1/27/2002,NA,NA,NA,8
1/28/2002,NA,NA,NA,8
1/29/2002,2.66,NA,NA,8
1/30/2002,NA,NA,NA,8
1/31/2002,NA,NA,NA,8
2/1/2002,11.2,2.07,0.774,8
2/2/2002,NA,NA,NA,8
2/3/2002,NA,NA,NA,8
2/4/2002,3.07,NA,NA,8
2/5/2002,NA,NA,NA,8
2/6/2002,NA,NA,NA,8
2/7/2002,8.2,3.25,1.28,8
2/8/2002,NA,NA,NA,8
2/9/2002,NA,NA,NA,8
2/10/2002,8.96,NA,NA,8
2/11/2002,NA,NA,NA,8
2/12/2002,NA,NA,NA,8
2/13/2002,2.53,1.68,1.14,8
2/14/2002,NA,NA,NA,8
2/15/2002,NA,NA,NA,8
2/16/2002,2.22,NA,NA,8
2/17/2002,NA,NA,NA,8
2/18/2002,NA,NA,NA,8
2/19/2002,1.51,NA,NA,8
2/20/2002,NA,NA,NA,8
2/21/2002,NA,NA,NA,8
2/22/2002,2.8,NA,NA,8
2/23/2002,NA,NA,NA,8
2/24/2002,NA,NA,NA,8
2/25/2002,1.49,NA,NA,8
2/26/2002,NA,NA,NA,8
2/27/2002,NA,NA,NA,8
2/28/2002,4.84,NA,NA,8
3/1/2002,NA,NA,NA,8
3/2/2002,NA,NA,NA,8
3/3/2002,3.23,1.85,1.31,8
3/4/2002,NA,NA,NA,8
3/5/2002,NA,NA,NA,8
3/6/2002,3.19,NA,NA,8
3/7/2002,NA,NA,NA,8
3/8/2002,NA,NA,NA,8
3/9/2002,,NA,NA,8
3/10/2002,0.811,NA,NA,8
3/11/2002,NA,NA,NA,8
3/12/2002,NA,NA,NA,8
3/13/2002,3.9,NA,NA,8
3/14/2002,NA,NA,NA,8
3/15/2002,NA,5.72,0.599,8
3/16/2002,0.901,NA,NA,8
3/17/2002,NA,NA,NA,8
3/18/2002,NA,NA,NA,8
3/19/2002,2.02,NA,NA,8
3/20/2002,NA,NA,NA,8
3/21/2002,NA,6.71,1.39,8
3/22/2002,0.862,NA,NA,8
3/23/2002,NA,NA,NA,8
3/24/2002,NA,NA,NA,8
3/25/2002,0.827,NA,NA,8
3/26/2002,NA,NA,NA,8
3/27/2002,NA,10.3,0.492,8
3/28/2002,0.758,NA,NA,8
3/29/2002,NA,NA,NA,8
3/30/2002,NA,NA,NA,8
3/31/2002,0.735,NA,NA,8
4/1/2002,NA,NA,NA,8
4/2/2002,NA,3.45,0.446,8
4/3/2002,0.454,NA,NA,8
4/4/2002,NA,NA,NA,8
4/5/2002,NA,NA,NA,8
4/6/2002,0.394,NA,NA,8
4/7/2002,NA,NA,NA,8
4/8/2002,NA,4.99,0.562,8
4/9/2002,0.813,NA,NA,8
4/10/2002,NA,NA,NA,8
4/11/2002,NA,NA,NA,8
4/12/2002,0.916,NA,NA,8
4/13/2002,NA,NA,NA,8
4/14/2002,NA,4.46,0.565,8
4/15/2002,0.772,NA,NA,8
4/16/2002,NA,NA,NA,8
4/17/2002,NA,NA,NA,8
4/18/2002,0.619,NA,NA,8
4/19/2002,NA,NA,NA,8
4/20/2002,NA,4.31,0.534,8
4/21/2002,0.794,NA,NA,8
4/22/2002,NA,NA,NA,8
4/23/2002,NA,NA,NA,8
4/24/2002,0.413,NA,NA,8
4/25/2002,NA,NA,NA,8
4/26/2002,NA,2.15,1.13,8
4/27/2002,0.706,NA,NA,8
4/28/2002,NA,NA,NA,8
4/29/2002,NA,NA,NA,8
4/30/2002,1.24,NA,NA,8
5/1/2002,NA,NA,NA,8
5/2/2002,NA,5.15,0.887,8
5/3/2002,1,NA,NA,8
5/4/2002,NA,NA,NA,8
5/5/2002,NA,NA,NA,8
5/6/2002,0.224,NA,NA,8
5/7/2002,NA,NA,NA,8
5/8/2002,NA,4.94,0.616,8
5/9/2002,0.386,NA,NA,8
5/10/2002,NA,NA,NA,8
5/11/2002,NA,NA,NA,8
5/12/2002,NA,NA,NA,8
5/13/2002,NA,NA,NA,8
5/14/2002,NA,3.4,0.341,8
5/15/2002,0.42,NA,NA,8
5/16/2002,NA,NA,NA,8
5/17/2002,NA,NA,NA,8
5/18/2002,3.7,NA,NA,8
5/19/2002,NA,NA,NA,8
5/20/2002,NA,NA,NA,8
5/21/2002,3.9,NA,NA,8
5/22/2002,NA,NA,NA,8
5/23/2002,NA,NA,NA,8
5/24/2002,2.72,NA,NA,8
5/25/2002,NA,NA,NA,8
5/26/2002,NA,3.23,0.464,8
5/27/2002,5.95,NA,NA,8
5/28/2002,NA,NA,NA,8
5/29/2002,NA,NA,NA,8
5/30/2002,2.11,NA,NA,8
5/31/2002,NA,NA,NA,8
6/1/2002,NA,12.2,0.579,8
6/2/2002,6.4,NA,NA,8
6/3/2002,NA,NA,NA,8
6/4/2002,NA,NA,NA,8
6/5/2002,2.67,NA,NA,8
6/6/2002,NA,NA,NA,8
6/7/2002,NA,6.05,0.605,8
6/8/2002,NA,NA,NA,8
6/9/2002,NA,NA,NA,8
6/10/2002,2.68,NA,NA,8
6/11/2002,NA,NA,NA,8
6/12/2002,NA,NA,NA,8
6/13/2002,1.14,2.38,0.495,8
6/14/2002,NA,NA,NA,8
6/15/2002,NA,NA,NA,8
6/16/2002,2.66,NA,NA,8
6/17/2002,NA,NA,NA,8
6/18/2002,NA,NA,NA,8
6/19/2002,11.2,6.87,0.405,8
6/20/2002,NA,NA,NA,8
6/21/2002,NA,NA,NA,8
6/22/2002,3.07,NA,NA,8
6/23/2002,NA,NA,NA,8
6/24/2002,NA,NA,NA,8
6/25/2002,8.2,2.47,0.388,8
6/26/2002,NA,NA,NA,8
6/27/2002,NA,NA,NA,8
6/28/2002,8.96,NA,NA,8
6/29/2002,NA,NA,NA,8
6/30/2002,NA,NA,NA,8
7/1/2002,2.53,4.54,0.317,8
7/2/2002,NA,NA,NA,8
7/3/2002,NA,NA,NA,8
7/4/2002,2.22,NA,NA,8
7/5/2002,NA,NA,NA,8
7/6/2002,NA,NA,NA,8
7/7/2002,1.51,11.2,0.317,8
7/8/2002,NA,NA,NA,8
7/9/2002,NA,NA,NA,8
7/10/2002,2.8,NA,NA,8
7/11/2002,NA,NA,NA,8
7/12/2002,NA,NA,NA,8
7/13/2002,1.49,6.04,0.434,8
7/14/2002,NA,NA,NA,8
7/15/2002,NA,NA,NA,8
7/16/2002,4.84,NA,NA,8
7/17/2002,NA,NA,NA,8
7/18/2002,NA,NA,NA,8
7/19/2002,3.23,2.84,0.521,8
7/20/2002,NA,NA,NA,8
7/21/2002,NA,NA,NA,8
7/22/2002,3.19,NA,NA,8
7/23/2002,NA,NA,NA,8
7/24/2002,NA,NA,NA,8
7/25/2002,,3.56,0.643,8
7/26/2002,0.811,NA,NA,8
7/27/2002,NA,NA,NA,8
7/28/2002,NA,NA,NA,8
7/29/2002,3.9,NA,NA,8
7/30/2002,NA,NA,NA,8
7/31/2002,NA,NA,NA,8
8/1/2002,0.901,NA,NA,8
8/2/2002,NA,NA,NA,8
8/3/2002,NA,NA,NA,8
8/4/2002,2.02,NA,NA,8
8/5/2002,NA,NA,NA,8
8/6/2002,NA,9.4,0.524,8
8/7/2002,0.862,NA,NA,8
8/8/2002,NA,NA,NA,8
8/9/2002,NA,NA,NA,8
8/10/2002,0.827,NA,NA,8
8/11/2002,NA,NA,NA,8
8/12/2002,NA,4.53,0.516,8
8/13/2002,0.758,NA,NA,8
8/14/2002,NA,NA,NA,8
8/15/2002,NA,NA,NA,8
8/16/2002,0.735,NA,NA,8
8/17/2002,NA,NA,NA,8
8/18/2002,NA,1.33,0.24,8
8/19/2002,0.454,NA,NA,8
8/20/2002,NA,NA,NA,8
8/21/2002,NA,NA,NA,8
8/22/2002,0.394,NA,NA,8
8/23/2002,NA,NA,NA,8
8/24/2002,NA,2.89,0.313,8
8/25/2002,0.813,NA,NA,8
8/26/2002,NA,NA,NA,8
8/27/2002,NA,NA,NA,8
8/28/2002,0.916,NA,NA,8
8/29/2002,NA,NA,NA,8
8/30/2002,NA,5.71,0.337,8
8/31/2002,0.772,NA,NA,8
9/1/2002,NA,NA,NA,8
9/2/2002,NA,NA,NA,8
9/3/2002,0.619,NA,NA,8
9/4/2002,NA,NA,NA,8
9/5/2002,NA,9.88,0.378,8
9/6/2002,0.794,NA,NA,8
9/7/2002,NA,NA,NA,8
9/8/2002,NA,NA,NA,8
9/9/2002,0.413,NA,NA,8
9/10/2002,NA,NA,NA,8
9/11/2002,NA,15.3,0.384,8
9/12/2002,0.706,NA,NA,8
9/13/2002,NA,NA,NA,8
9/14/2002,NA,NA,NA,8
9/15/2002,1.24,NA,NA,8
9/16/2002,NA,NA,NA,8
9/17/2002,NA,7.77,1.29,8
9/18/2002,1,NA,NA,8
9/19/2002,NA,NA,NA,8
9/20/2002,NA,NA,NA,8
9/21/2002,0.224,NA,NA,8
9/22/2002,NA,NA,NA,8
9/23/2002,NA,3.85,0.288,8
9/24/2002,0.386,NA,NA,8
9/25/2002,NA,NA,NA,8
9/26/2002,NA,NA,NA,8
9/27/2002,NA,NA,NA,8
9/28/2002,NA,NA,NA,8
9/29/2002,NA,6.91,0.333,8
9/30/2002,0.42,NA,NA,8
10/1/2002,NA,NA,NA,8
10/2/2002,NA,NA,NA,8
10/3/2002,3.7,NA,NA,8
10/4/2002,NA,NA,NA,8
10/5/2002,NA,4.52,0.613,8
10/6/2002,3.9,NA,NA,8
10/7/2002,NA,NA,NA,8
10/8/2002,NA,NA,NA,8
10/9/2002,2.72,NA,NA,8
10/10/2002,NA,NA,NA,8
10/11/2002,NA,5.53,0.727,8
10/12/2002,5.95,NA,NA,8
10/13/2002,NA,NA,NA,8
10/14/2002,NA,NA,NA,8
10/15/2002,2.11,NA,NA,8
10/16/2002,NA,NA,NA,8
10/17/2002,NA,2.31,0.714,8
10/18/2002,6.4,NA,NA,8
10/19/2002,NA,NA,NA,8
10/20/2002,NA,NA,NA,8
10/21/2002,2.67,NA,NA,8
10/22/2002,NA,NA,NA,8
10/23/2002,NA,8.37,2.07,8
10/24/2002,NA,NA,NA,8
10/25/2002,NA,NA,NA,8
10/26/2002,2.68,NA,NA,8
10/27/2002,NA,NA,NA,8
10/28/2002,NA,NA,NA,8
10/29/2002,1.14,2.04,0.304,8
10/30/2002,NA,NA,NA,8
10/31/2002,NA,NA,NA,8
11/1/2002,2.66,NA,NA,8
11/2/2002,NA,NA,NA,8
11/3/2002,NA,NA,NA,8
11/4/2002,11.2,1.57,0.788,8
11/5/2002,NA,NA,NA,8
11/6/2002,NA,NA,NA,8
11/7/2002,3.07,NA,NA,8
11/8/2002,NA,NA,NA,8
11/9/2002,NA,NA,NA,8
11/10/2002,8.2,3.69,0.402,8
11/11/2002,NA,NA,NA,8
11/12/2002,NA,NA,NA,8
11/13/2002,8.96,NA,NA,8
11/14/2002,NA,NA,NA,8
11/15/2002,NA,NA,NA,8
11/16/2002,2.53,3.75,1.03,8
11/17/2002,NA,NA,NA,8
11/18/2002,NA,NA,NA,8
11/19/2002,2.22,NA,NA,8
11/20/2002,NA,NA,NA,8
11/21/2002,NA,NA,NA,8
11/22/2002,1.51,NA,NA,8
11/23/2002,NA,NA,NA,8
11/24/2002,NA,NA,NA,8
11/25/2002,2.8,NA,NA,8
11/26/2002,NA,NA,NA,8
11/27/2002,NA,NA,NA,8
11/28/2002,1.49,3.47,3.9,8
11/29/2002,NA,NA,NA,8
11/30/2002,NA,NA,NA,8
12/1/2002,4.84,NA,NA,8
12/2/2002,NA,NA,NA,8
12/3/2002,NA,NA,NA,8
12/4/2002,3.23,4.36,4.32,8
12/5/2002,NA,NA,NA,8
12/6/2002,NA,NA,NA,8
12/7/2002,3.19,NA,NA,8
12/8/2002,NA,NA,NA,8
12/9/2002,NA,NA,NA,8
12/10/2002,,2.07,3,8
12/11/2002,0.811,NA,NA,8
12/12/2002,NA,NA,NA,8
12/13/2002,NA,NA,NA,8
12/14/2002,3.9,NA,NA,8
12/15/2002,NA,NA,NA,8
12/16/2002,NA,2.66,0.817,8
12/17/2002,0.901,NA,NA,8
12/18/2002,NA,NA,NA,8
12/19/2002,NA,NA,NA,8
12/20/2002,2.02,NA,NA,8
12/21/2002,NA,NA,NA,8
12/22/2002,NA,NA,NA,8
12/23/2002,0.862,NA,NA,8
12/24/2002,NA,NA,NA,8
12/25/2002,NA,NA,NA,8
12/26/2002,0.827,NA,NA,8
12/27/2002,NA,NA,NA,8
12/28/2002,NA,1.94,1.44,8
12/29/2002,0.758,NA,NA,8
12/30/2002,NA,NA,NA,8
12/31/2002,NA,NA,NA,8
1/1/2003,0.735,NA,NA,8
1/2/2003,NA,NA,NA,8
1/3/2003,NA,3.72,1.01,8
1/4/2003,0.454,NA,NA,8
1/5/2003,NA,NA,NA,8
1/6/2003,NA,NA,NA,8
1/7/2003,0.394,NA,NA,8
1/8/2003,NA,NA,NA,8
1/9/2003,NA,3.47,1.79,8
1/10/2003,0.813,NA,NA,8
1/11/2003,NA,NA,NA,8
1/12/2003,NA,NA,NA,8
1/13/2003,0.916,NA,NA,8
1/14/2003,NA,NA,NA,8
1/15/2003,NA,1.09,2.85,8
1/16/2003,0.772,NA,NA,8
1/17/2003,NA,NA,NA,8
1/18/2003,NA,NA,NA,8
1/19/2003,0.619,NA,NA,8
1/20/2003,NA,NA,NA,8
1/21/2003,NA,2.9,2.78,8
1/22/2003,0.794,NA,NA,8
1/23/2003,NA,NA,NA,8
1/24/2003,NA,NA,NA,8
1/25/2003,0.413,NA,NA,8
1/26/2003,NA,NA,NA,8
1/27/2003,NA,2,2.52,8
1/28/2003,0.706,NA,NA,8
1/29/2003,NA,NA,NA,8
1/30/2003,NA,NA,NA,8
1/31/2003,1.24,NA,NA,8
2/1/2003,NA,NA,NA,8
2/2/2003,NA,2.78,0.941,8
2/3/2003,1,NA,NA,8
2/4/2003,NA,NA,NA,8
2/5/2003,NA,NA,NA,8
2/6/2003,0.224,NA,NA,8
2/7/2003,NA,NA,NA,8
2/8/2003,NA,NA,NA,8
2/9/2003,0.386,NA,NA,8
2/10/2003,NA,NA,NA,8
2/11/2003,NA,NA,NA,8
2/12/2003,NA,NA,NA,8
2/13/2003,NA,NA,NA,8
2/14/2003,NA,2.27,2.45,8
2/15/2003,0.42,NA,NA,8
2/16/2003,NA,NA,NA,8
2/17/2003,NA,NA,NA,8
2/18/2003,3.7,NA,NA,8
2/19/2003,NA,NA,NA,8
2/20/2003,NA,5.45,3.47,8
2/21/2003,3.9,NA,NA,8
2/22/2003,NA,NA,NA,8
2/23/2003,NA,NA,NA,8
2/24/2003,2.72,NA,NA,8
2/25/2003,NA,NA,NA,8
2/26/2003,NA,5.2,3.66,8
2/27/2003,5.95,NA,NA,8
2/28/2003,NA,NA,NA,8
3/1/2003,NA,NA,NA,8
3/2/2003,2.11,NA,NA,8
3/3/2003,NA,NA,NA,8
3/4/2003,NA,2.71,1.05,8
3/5/2003,6.4,NA,NA,8
3/6/2003,NA,NA,NA,8
3/7/2003,NA,NA,NA,8
3/8/2003,2.67,NA,NA,8
3/9/2003,NA,NA,NA,8
3/10/2003,NA,2.41,3.58,8
3/11/2003,NA,NA,NA,8
3/12/2003,NA,NA,NA,8
3/13/2003,2.68,NA,NA,8
3/14/2003,NA,NA,NA,8
3/15/2003,NA,NA,NA,8
3/16/2003,1.14,9.02,5.18,8
3/17/2003,NA,NA,NA,8
3/18/2003,NA,NA,NA,8
3/19/2003,2.66,NA,NA,8
3/20/2003,NA,NA,NA,8
3/21/2003,NA,NA,NA,8
3/22/2003,11.2,NA,NA,8
3/23/2003,NA,NA,NA,8
3/24/2003,NA,NA,NA,8
3/25/2003,3.07,NA,NA,8
3/26/2003,NA,NA,NA,8
3/27/2003,NA,NA,NA,8
3/28/2003,8.2,4.1,0.56,8
3/29/2003,NA,NA,NA,8
3/30/2003,NA,NA,NA,8
3/31/2003,8.96,NA,NA,8
4/1/2003,NA,NA,NA,8
4/2/2003,NA,NA,NA,8
4/3/2003,2.53,NA,NA,8
4/4/2003,NA,NA,NA,8
4/5/2003,NA,NA,NA,8
4/6/2003,2.22,NA,NA,8
4/7/2003,NA,NA,NA,8
4/8/2003,NA,NA,NA,8
4/9/2003,1.51,4.43,0.9,8
4/10/2003,NA,NA,NA,8
4/11/2003,NA,NA,NA,8
4/12/2003,2.8,NA,NA,8
4/13/2003,NA,NA,NA,8
4/14/2003,NA,NA,NA,8
4/15/2003,1.49,6.27,0.746,8
4/16/2003,NA,NA,NA,8
4/17/2003,NA,NA,NA,8
4/18/2003,4.84,NA,NA,8
4/19/2003,NA,NA,NA,8
4/20/2003,NA,NA,NA,8
4/21/2003,3.23,2.55,0.59,8
4/22/2003,NA,NA,NA,8
4/23/2003,NA,NA,NA,8
4/24/2003,3.19,NA,NA,8
4/25/2003,NA,NA,NA,8
4/26/2003,NA,NA,NA,8
4/27/2003,,9.75,0.795,8
4/28/2003,0.811,NA,NA,8
4/29/2003,NA,NA,NA,8
4/30/2003,NA,NA,NA,8
5/1/2003,3.9,NA,NA,8
5/2/2003,NA,NA,NA,8
5/3/2003,NA,7.8,2.03,8
5/4/2003,0.901,NA,NA,8
5/5/2003,NA,NA,NA,8
5/6/2003,NA,NA,NA,8
5/7/2003,2.02,NA,NA,8
5/8/2003,NA,NA,NA,8
5/9/2003,NA,5.89,0.503,8
5/10/2003,0.862,NA,NA,8
5/11/2003,NA,NA,NA,8
5/12/2003,NA,NA,NA,8
5/13/2003,0.827,NA,NA,8
5/14/2003,NA,NA,NA,8
5/15/2003,NA,5.57,2.6,8
5/16/2003,0.758,NA,NA,8
5/17/2003,NA,NA,NA,8
5/18/2003,NA,NA,NA,8
5/19/2003,0.735,NA,NA,8
5/20/2003,NA,NA,NA,8
5/21/2003,NA,3.32,0.744,8
5/22/2003,0.454,NA,NA,8
5/23/2003,NA,NA,NA,8
5/24/2003,NA,NA,NA,8
5/25/2003,0.394,NA,NA,8
5/26/2003,NA,NA,NA,8
5/27/2003,NA,5.7,0.66,8
5/28/2003,0.813,NA,NA,8
5/29/2003,NA,NA,NA,8
5/30/2003,NA,NA,NA,8
5/31/2003,0.916,NA,NA,8
6/1/2003,NA,NA,NA,8
6/2/2003,NA,3.98,0.473,8
6/3/2003,0.772,NA,NA,8
6/4/2003,NA,NA,NA,8
6/5/2003,NA,NA,NA,8
6/6/2003,0.619,NA,NA,8
6/7/2003,NA,NA,NA,8
6/8/2003,NA,4.26,0.446,8
6/9/2003,0.794,NA,NA,8
6/10/2003,NA,NA,NA,8
6/11/2003,NA,NA,NA,8
6/12/2003,0.413,NA,NA,8
6/13/2003,NA,NA,NA,8
6/14/2003,NA,2.3,0.264,8
6/15/2003,0.706,NA,NA,8
6/16/2003,NA,NA,NA,8
6/17/2003,NA,NA,NA,8
6/18/2003,1.24,NA,NA,8
6/19/2003,NA,NA,NA,8
6/20/2003,NA,4.31,0.501,8
6/21/2003,1,NA,NA,8
6/22/2003,NA,NA,NA,8
6/23/2003,NA,NA,NA,8
6/24/2003,0.224,NA,NA,8
6/25/2003,NA,NA,NA,8
6/26/2003,NA,8.63,0.379,8
6/27/2003,0.386,NA,NA,8
6/28/2003,NA,NA,NA,8
6/29/2003,NA,NA,NA,8
6/30/2003,NA,NA,NA,8
7/1/2003,NA,NA,NA,8
7/2/2003,NA,1.56,0.199,8
7/3/2003,0.42,NA,NA,8
7/4/2003,NA,NA,NA,8
7/5/2003,NA,NA,NA,8
7/6/2003,3.7,NA,NA,8
7/7/2003,NA,NA,NA,8
7/8/2003,NA,2.89,0.356,8
7/9/2003,3.9,NA,NA,8
7/10/2003,NA,NA,NA,8
7/11/2003,NA,NA,NA,8
7/12/2003,2.72,NA,NA,8
7/13/2003,NA,NA,NA,8
7/14/2003,NA,2.71,0.307,8
7/15/2003,5.95,NA,NA,8
7/16/2003,NA,NA,NA,8
7/17/2003,NA,NA,NA,8
7/18/2003,2.11,NA,NA,8
7/19/2003,NA,NA,NA,8
7/20/2003,NA,7.42,0.331,8
7/21/2003,6.4,NA,NA,8
7/22/2003,5.18,NA,NA,8
7/23/2003,NA,NA,NA,8
7/24/2003,NA,NA,NA,8
7/25/2003,NA,NA,NA,8
7/26/2003,NA,6.64,0.311,8
7/27/2003,NA,NA,NA,8
7/28/2003,NA,NA,NA,8
7/29/2003,NA,NA,NA,8
7/30/2003,NA,NA,NA,8
7/31/2003,NA,NA,NA,8
8/1/2003,NA,6.47,0.444,8
